method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),744125.0104076162,0.8042388825147891,31332.40529336722,0.0,680.4597343506175,-39.438970914052334,22070.477454374195,3961.851745757216,17690.151831686846,709284.1812745392,44362.9679723935,28198.974908739678,21409.175368548953,6725.105996482482
Sobol-CPI(100),744125.0104076162,0.8042388825147891,58790.82913338783,-6.915761692689197e-10,325.37551913906054,368.5185300518233,19724.77947133985,6263.785892621946,3772.764894717931,536677.8974430737,17304.352024342465,45149.39392720543,19760.76701753093,10205.347117145273
PFI,744125.0104076162,0.8042388825147891,72628.50827106938,18057.71932024206,-3580.157616509241,12.019927724497393,-29448.16062475916,13042.2528215833,48814.1317579468,2174333.833093662,207860.10873831692,78207.35831417982,1544188.6206591546,4386.588315407978
CFI,744125.0104076162,0.8042388825147891,80350.02429092152,0.0,214.8340092349099,-78.87794182810467,6373.530882380204,11121.101930282079,22870.358300757944,1147807.5685286883,67164.55762981507,61139.539565355866,42116.79737584363,13338.353359307745
cSAGEvf,744125.0104076162,0.8042388825147891,758430.5128248464,1028455.2023773639,475884.4355732138,-163220.51493724855,104760.31613574922,134532.5414260123,281480.8258691784,1654084.9322163723,111931.43372288998,246098.8276402918,1651453.2466120422,264698.15381526947
scSAGEj,744125.0104076162,0.8042388825147891,54348.04492361529,0.0,345.4515735361492,0.6078691228758544,15949.698132830206,5296.021772743901,2816.215445434209,484384.22471010673,16553.438217687304,40866.05410905648,14239.51814737916,8205.819381171954
mSAGEvf,744125.0104076162,0.8042388825147891,256089.85432329308,200223.73741474235,66229.44465728058,3738.7529773344286,-202192.63586730836,-91777.61497059092,73540.9203328793,1823340.422007706,218461.61039033905,79455.89789453335,1396574.1908918405,-43845.039523082785
cSAGE,744125.0104076162,0.8042388825147891,309256.4511058102,546305.8444968568,141918.42413447922,-5489.736498028278,17343.971880246787,1234.4990073591596,134373.36108389733,992289.2354315863,129148.96850439688,74033.56383747085,738580.4434396906,108427.23135548782
mSAGE,744125.0104076162,0.8042388825147891,161312.12878024144,115215.17244668782,-3152.9181371423906,66.75001836706687,3223.034222322722,7917.631906565512,39848.41943959721,1410304.004666822,185276.60271453566,75292.86829365401,1182575.8369566319,8907.89284536992
LOCO,744125.0104076162,0.8042388825147891,77402.93374747678,60630.52946768585,-4000.659611823852,25950.578971605864,15037.182570666773,-5320.835679366952,24605.628637136542,210614.05898420454,56834.77941620548,139382.6997819899,3309.039598285686,10108.602479399997
LOCO-W,744125.0104076162,0.8042388825147891,223928.58484805364,-163727.5014165143,199802.3924300505,-129363.6510835952,41653.27381983358,-312030.0831909789,-22759.43352393783,64350.989307233496,155895.5738030266,-22746.771996697982,11516.383356705204,198134.3871317645
LOCI,744125.0104076162,0.8042388825147891,1504961.2665955508,897453.7343955413,1482384.384572485,-97435.77856390178,-6024.4975936478,-40855.44845013879,345064.6861204859,1872491.1360215447,339519.0483083734,130554.15348178009,2658828.6058073738,263453.17955858214
