method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),482514.3432115646,0.8730622600925662,4219.991305782314,0.0,187.06303265300812,46.21706802721019,15047.280558163271,843.4536942177219,4371.373611224495,555866.6799496599,104581.28425442183,42085.1033829932,74540.70153979596,15624.897925510246
Sobol-CPI(100),482514.3432115646,0.8730622600925662,11134.449230989794,-9.221015590252262e-10,-364.5037623719395,1139.2220947265598,25333.48047210337,3237.085881269431,13460.161820322732,560976.2061071971,80479.60415324461,38989.25210540575,84321.85241821923,17446.684967174995
PFI,482514.3432115646,0.8730622600925662,16358.07191224495,1179.3296938774874,25390.329274829943,2241.9346965986188,48107.56051224505,7636.9968217687565,56778.66583673458,1699931.576706802,283286.91763333324,87199.5924605442,3281254.5516646253,23260.700990476296
CFI,482514.3432115646,0.8730622600925662,7234.353205442138,0.0,-58.39682108844863,445.39043265307555,19503.62693401362,8127.129017687054,50590.10663333337,1214489.1867523813,186301.62851836742,29283.41945714288,110867.99418367364,14086.000378911674
cSAGEvf,482514.3432115646,0.8730622600925662,748014.2424572455,873448.3392015286,454704.34954133164,62714.014325390104,-95765.43180819601,-17861.693910009228,286833.57091245614,1694025.1901725424,245085.13906528056,76930.54580995906,2355513.2513943724,16735.12221026607
scSAGEj,482514.3432115646,0.8730622600925662,12271.674687622639,0.0,-733.9853853840032,315.73299147270154,26044.068491403363,2345.9695286199567,19349.881139483477,539176.5823227272,88468.64758989413,39869.95104924677,77916.0678632094,17743.226743939682
mSAGEvf,482514.3432115646,0.8730622600925662,32415.65175910806,218497.94484919356,334506.0551286903,-47273.50291332416,37677.8814393729,-84790.73310450744,-27518.935757061467,1722149.7512365188,189031.3324922435,-6763.287350530736,2257483.374705257,-234137.6974387858
cSAGE,482514.3432115646,0.8730622600925662,271015.0660637504,606993.8450801439,176420.79235682313,-9249.21611823534,24753.902598125416,5377.8630636170965,128612.38050144642,948506.422343817,152731.5398321609,71177.10032799555,1026248.677567614,10221.619519707436
mSAGE,482514.3432115646,0.8730622600925662,30160.14919801252,1845.9683762354698,17455.60638499292,-142.76048170968744,29695.468367581252,6302.114243434148,46097.498092353744,1193669.8984243202,222820.13479212316,64003.2564114919,1792827.656370115,9235.991307235417
LOCO,482514.3432115646,0.8730622600925662,1386.235440136108,-166.94455102056963,9834.808355782414,-1913.6953802719945,16681.096538775542,3650.27605510212,-2540.1985469386564,177756.55819115636,72380.07871972804,21182.752594557824,13697.505453741585,-14313.572340136161
LOCO-W,482514.3432115646,0.8730622600925662,86316.30376429528,20423.640385858263,209252.2853369439,-14009.074055425672,169747.22248202816,12350.954342926183,28454.395843918217,-73753.37474011726,92027.30421840292,116297.78701186439,-144452.7988063024,47167.15443844
LOCI,482514.3432115646,0.8730622600925662,1560820.7662925073,997659.3316820618,1519131.3527822942,-99214.35934039438,-48546.48350671865,-9958.616577167064,333070.52613051655,1696418.9393357728,-1284535.5651087286,-1481535.6304190066,2890857.7431911565,-1793552.4586775517
