method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),814663.632720716,0.7856818936530446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373607.0119076954,85598.75769608613,0.0,98772.39094002463,0.0
Sobol-CPI(100),814663.632720716,0.7856818936530446,8.06838864147073e-10,8.06838864147073e-10,8.06838864147073e-10,8.06838864147073e-10,8.06838864147073e-10,8.06838864147073e-10,8.06838864147073e-10,252988.91493324988,31844.705664616027,8.06838864147073e-10,106841.79202980098,8.06838864147073e-10
PFI,814663.632720716,0.7856818936530446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656911.145106244,338984.30549945415,0.0,3020587.144880072,0.0
CFI,814663.632720716,0.7856818936530446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851910.9910353083,112339.69744832173,0.0,192948.70670678362,0.0
cSAGEvf,814663.632720716,0.7856818936530446,885950.689256656,1072130.6170616332,440439.78660568316,125170.06415891835,-301.60255604377016,-133222.73777649878,342432.7524352628,1700925.4396703225,219680.81774961622,37304.43347913446,2352289.761277676,310746.41738584405
scSAGEj,814663.632720716,0.7856818936530446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254372.06586228768,27901.728127753246,0.0,103375.71528615395,0.0
mSAGEvf,814663.632720716,0.7856818936530446,-202976.33191062044,97906.42198342038,49429.15428434685,85532.1525195092,-152521.6141422079,141662.16015215078,17312.113199821673,1627956.2748668124,405349.9458097168,-56987.44248310337,2349940.6526253535,111064.32637869986
cSAGE,814663.632720716,0.7856818936530446,247556.58544238153,571883.6392778915,161353.71155843258,-2195.996765361618,1862.3476523593804,3165.526101670743,101764.42714667968,777893.5095748557,120564.86762820507,24550.799481289992,985229.2452271238,82550.30913461704
mSAGE,814663.632720716,0.7856818936530446,32.1590418682735,48.60105811466974,655.530374850361,468.00192895311596,110.7194046403,-268.18127343359726,184.96875678738888,1076396.36354616,180403.50419165505,604.578727119942,1820799.4540849687,237.66116758007945
LOCO,814663.632720716,0.7856818936530446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103947.62728093436,59337.70690761716,0.0,89765.76838684117,0.0
LOCO-W,814663.632720716,0.7856818936530446,127049.8867050944,-100180.88617345174,152011.56794709014,-83829.79962605509,172494.06911170227,118979.54809998625,-144912.47530446164,97659.67632331279,72369.08911965221,126282.20481248065,68543.76356091966,-169834.74520685678
LOCI,814663.632720716,0.7856818936530446,1559569.5017914246,998534.9021322555,1525825.0091533721,-98850.29485550849,-45628.25706817163,-11550.339849074837,288620.97258947976,1833642.4852326775,110603.08897069376,-137733.0931671881,2817934.9262339463,78220.41839916352
