method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),596690.8036438667,0.8413948560700146,15993.753371950472,0.0,2495.338919559319,13785.017706122831,21715.196258729906,3867.8839714012574,42906.582131042145,373032.1291007508,91767.88916401885,118044.01625424327,45620.48455284088,2560.58710280346
Sobol-CPI(100),596690.8036438667,0.8413948560700146,43849.79929693255,-1.0373642539033796e-09,-202.12732454425296,25813.581841991807,21501.06313719269,5949.122658759438,2292.7407051798527,358816.0166005699,99351.82887530922,160501.05482271404,57479.04720284681,2424.7801341846043
PFI,596690.8036438667,0.8413948560700146,12145.801140333293,0.0,156622.41088761983,34766.55818631966,39344.43090342195,27722.931044444675,65456.23979786317,2222985.76594078,503487.6361893313,246547.84896977292,3041345.7504750993,2545.642479064525
CFI,596690.8036438667,0.8413948560700146,37950.35023284913,0.0,3889.9648199934745,16931.813596553053,63422.897761047,9019.710702448036,-20311.926338639576,881204.7449923991,75406.66676583211,271375.98114100157,93932.72590118262,1735.7110354417237
cSAGEvf,596690.8036438667,0.8413948560700146,796051.5841773571,1015086.5499727549,-58954.95172449668,213964.73921390157,123111.84473151062,82528.48087016493,552369.0742057934,1676183.2518629297,246207.56859291022,495630.18140761787,1681483.5367797855,678838.290730292
scSAGEj,596690.8036438667,0.8413948560700146,43945.30130793969,0.0,-466.0884638396092,26680.952812731382,25690.5894488974,4903.665485577425,15725.05563824391,336859.95270666236,107920.92349542142,161091.18225067214,62934.264648309785,4902.235805270961
mSAGEvf,596690.8036438667,0.8413948560700146,138880.3225009148,234982.90418051463,-472343.4396997299,85489.99108498683,175605.3080832786,115290.12276370496,224967.87400325667,1324710.3582721893,220146.65283118375,118031.37506880378,1819238.569801496,114049.35604983615
cSAGE,596690.8036438667,0.8413948560700146,273511.8125963874,510118.0893895418,62470.459127369206,33294.011952944085,26584.334731053765,24090.34863844936,171498.5184417098,802358.404622664,242966.21193173437,179747.07738049034,737199.7477273137,231897.22117931233
mSAGE,596690.8036438667,0.8413948560700146,100658.45225252533,-1178.2016225066784,-44476.25996091455,18868.324583109417,24985.752079369777,13567.713387262467,90934.2131991169,1159073.0319695054,227679.1955131632,190726.0108889301,1500758.9510601405,16518.979423006254
LOCO,596690.8036438667,0.8413948560700146,32766.222584166215,2776.6914225958753,45711.81819730566,16189.352882697247,14577.396742286975,-12166.462329221074,20197.50284158776,104685.36224128678,89383.35752982309,79455.5450886843,-53961.22265433404,22697.590511781396
LOCO-W,596690.8036438667,0.8413948560700146,128394.43543795745,176423.4044093895,204383.8033749924,-213047.95031134444,-46196.21255967863,-25113.770051103802,-214061.63338804303,-733.3673548721786,-75609.94012095274,187503.8597704464,68232.41741420269,17057.478826287992
LOCI,596690.8036438667,0.8413948560700146,1463014.8505668188,921732.8505952721,1152017.95482834,38195.142382456455,26654.72397430474,30499.069883705582,473956.9409510377,838171.7471894305,-297211.16775329364,-272899.367801792,2518346.257108989,-271537.2595573268
