method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),744530.5896179078,0.8076657196698878,72000.55288880097,400.1459217161173,-2082.2676713074325,996.4900027911644,-391.576434766117,-3666.596845121123,35683.723908097774,342115.97034904186,-1477.491855030472,83900.73382436839,392.14236812421586,-14064.93937395612
Sobol-CPI(100),744530.5896179078,0.8076657196698878,91768.29187385623,1394.7484677326681,-10981.155955229799,-5440.216760345306,4228.755448501797,-1165.7789204150927,3828.733975078454,387630.05662399216,-20951.704442772512,76111.83687421323,-16484.09759584828,-26429.4662839627
PFI,744530.5896179078,0.8076657196698878,273474.98108983226,8474.749123537797,250897.98364649256,932.8341357753379,72122.22233514173,38789.07075615565,244370.7550050976,3537302.2307776315,68016.34945210861,132570.31791633298,2579449.3637117045,345012.86586867226
CFI,744530.5896179078,0.8076657196698878,195653.77185825328,1308.0596585677704,-9684.55209641566,-16736.700230211252,19738.51643589593,32246.93198156508,-35751.34724852571,912227.8085794058,-4908.313329107012,92939.97548288142,-9772.36533311184,-7270.010381252388
cSAGEvf,744530.5896179078,0.8076657196698878,468784.9891531015,1055306.1465974748,7769.183727042284,-11550.991552572697,29491.837670660116,153659.16933330707,205392.2274165647,1702151.787349931,-61606.8493336183,286473.5659334273,1595635.4242667942,313303.66188975144
scSAGEj,744530.5896179078,0.8076657196698878,96318.4929598124,1374.7985444029327,-11456.511356684961,-5870.26860479638,7888.766999979852,3367.7310798012186,6650.605773243005,408128.0403563699,-19363.841574699385,72369.06112200092,-15669.339557156201,-26976.872545442428
mSAGEvf,744530.5896179078,0.8076657196698878,296038.29764647083,101516.87843460869,-240142.27716563456,-367838.5277527943,42521.12939325813,-59503.552598642185,377540.157071454,1754874.0787000144,-76035.88007659465,140640.9455299098,1532600.5269976277,-563636.3344944133
cSAGE,744530.5896179078,0.8076657196698878,237095.24410455322,598856.1870018904,87266.9466613703,-18885.917447461812,-5773.267656684916,-18206.567081636902,141201.8508963413,1013193.8089181938,156913.54629129244,131419.41211319025,633673.5567874146,251301.80832949965
mSAGE,744530.5896179078,0.8076657196698878,223933.01150707438,57054.995261749275,-69547.10437209999,-8238.873800810923,2075.8646037322656,-12650.928654831601,188498.34111618975,1661907.0986968358,-40104.00179234375,135852.34929611787,1269589.4216007823,-201668.34365929393
LOCO,744530.5896179078,0.8076657196698878,84026.65358780196,-9604.90540823713,43402.33319077105,21570.711118403357,16036.933579754666,226127.8370698354,54453.80297497567,706807.314985163,157024.9049589507,90889.71504965122,12973.886515330523,84731.47463513748
LOCO-W,744530.5896179078,0.8076657196698878,-44413.54106829577,-3068.414983550556,70534.56128866591,-78747.42268531257,216821.57029306435,78258.59585132895,-54649.73130017363,-31730.74211151593,207172.14763294466,-49172.252481643445,-193364.48828055942,138854.84710135937
LOCI,744530.5896179078,0.8076657196698878,503747.2696763263,1141622.9197696308,241044.45397352194,-47840.80747103272,-1783.4073894144967,-74341.00395326968,279289.287811622,1709469.4677160364,-1800239.729426274,245927.9494032911,-424822.9666263992,287987.2225174238
