method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),920576.8858160655,0.7288429337829208,104743.93772260292,38.35747779690428,65.73325221939012,4.7660432755947113e-07,1679.1143642228562,1150.3404101523338,28396.293435376603,336329.66589694394,-12918.213824641949,15510.886623331578,-2709.8446480706916,182.44350065733306
Sobol-CPI(100),920576.8858160655,0.7288429337829208,128658.62151790205,177.96491648999532,-8292.699038995532,2.19575433742882e-07,573.9008496550032,1717.8629007970794,6283.050649887813,456125.87403637636,-7686.575663057133,36577.918295983094,-18481.878308070554,368.30207129679894
PFI,920576.8858160655,0.7288429337829208,134421.95845562324,568.3244337469805,328773.3843920111,0.0,12374.156844167039,17165.58910535043,23649.50814434397,2226917.019374292,106918.05771956104,132176.71146874048,2450638.583994799,422.4453240305884
CFI,920576.8858160655,0.7288429337829208,158251.98115352925,268.82854061666876,-14502.773771489388,1.3007083907723427e-06,-443.5078951950418,6393.879326170543,47358.93161252397,893548.0569457364,45106.6616268456,59003.58314351598,-11025.364023139351,224.11577231111005
cSAGEvf,920576.8858160655,0.7288429337829208,695593.7180961766,1001694.1869724127,184402.18418711703,-158692.17521380307,-95530.93017325224,34417.07885119459,103554.79773145262,1026955.4097462641,-3343.177231251262,74375.34967424115,902249.7344188886,-23167.796290098224
scSAGEj,920576.8858160655,0.7288429337829208,145594.29802844452,197.57329375622794,-7665.95881659491,3.6391429603099823e-07,151.91561373521108,861.0602475077612,36868.07200115919,423508.60844813136,-13252.403199471068,42675.61475379381,-18897.56710384402,190.1953594078077
mSAGEvf,920576.8858160655,0.7288429337829208,346182.55317141814,67358.15215866175,-486516.1564687514,-7128.529119387269,113856.55903064786,61092.04377406696,81946.15193530312,1059937.2556095272,36137.94844937092,94760.67295717122,1069699.8639760395,-9774.478174087126
cSAGE,920576.8858160655,0.7288429337829208,348253.25845618744,532733.6565106249,54357.29565021819,11085.082955196161,2519.778695993733,10999.898120605649,112678.92704518634,780908.2788904567,90378.29940290545,47988.08652805217,460743.50388962234,127883.43532302142
mSAGE,920576.8858160655,0.7288429337829208,251663.42307177838,7920.549022373419,-95857.11079303625,-149.34916097022307,333.3006459928069,17193.28735128751,71470.58437955395,1074223.1238694398,63379.650165130784,74421.1955082675,1118507.8408777975,-1122.5490216910482
LOCO,920576.8858160655,0.7288429337829208,145169.97058737383,206.64423787407577,148020.02166096435,0.015838118735700846,15765.749122957583,25052.47193108988,36425.74144871556,513243.6590114861,-14524.400415211334,34416.62187411927,95210.13435293734,491.7066791468533
LOCO-W,920576.8858160655,0.7288429337829208,-112363.71684977667,41073.935372540014,3217.1031165834233,-612.8374814545174,84065.33591549814,-10477.59799976268,-38324.09121713633,-141234.16870624942,161807.68307833318,-54865.36810406451,236771.9072141603,-71035.98457868167
LOCI,920576.8858160655,0.7288429337829208,605877.8970001107,606261.4114369964,181868.3257227107,-5040.528222867753,-15206.97822286794,2823.269940398168,158742.84662064398,957435.9570680298,42757.59440387925,65954.18680279842,506379.17705877917,132369.8446369283
